4 0 0 4 0 3 2 1
2 2 5 3 6 1 7 4
1 0 0 1 0 2 4 3
10 6 7 3 5 2 4 1
3 0 3 0 0 2 0 1
1 1 0 3 0 0 0 2
3 0 0 0 1 0 0 2
1 2 7 6 4 1 3 5
1 5 1 2 4 3 7 6
1 7 5 1 6 3 2 4
13 0 0 0 1 2 0 3
3 7 4 1 3 5 2 6
2 0 1 2 0 3 0 0
1 7 6 5 1 2 4 3
1 6 5 4 7 1 3 2
1 2 0 0 1 0 0 3
2 6 3 2 0 4 1 5
2 2 0 0 1 3 0 0
4 4 0 0 3 2 0 1
3 2 0 1 0 0 3 0
3 0 0 4 3 1 5 2
1 1 2 0 0 0 0 3
1 0 3 2 0 1 0 4
39 0 2 1 0 0 3 0
1 3 0 2 0 0 1 4
1 7 5 4 3 1 2 6
2 0 0 0 1 2 4 3
2 1 2 0 0 0 0 0
50 0 0 0 3 1 0 2
19 0 0 2 1 0 3 0
4 0 2 0 1 0 0 0
1 2 1 0 0 0 0 3
8 0 0 0 0 0 0 1
19 0 4 1 3 0 2 0
1 2 4 0 3 0 1 0
2 0 0 2 3 1 0 4
2 7 3 1 4 6 2 5
1 3 5 1 4 0 2 6
2 0 0 0 0 0 2 1
1 2 3 0 1 0 0 0
11 0 0 3 2 0 1 0
1 0 0 3 2 0 0 1
1 0 3 0 4 1 0 2
1 5 4 1 3 7 2 6
1 2 7 6 4 3 5 1
1 6 5 7 3 1 4 2
47 0 0 3 0 1 4 2
1 2 0 4 0 1 0 3
82 0 0 1 3 0 2 0
6 0 1 0 2 0 3 0
3 6 7 2 5 4 1 3
2 6 7 2 3 4 1 5
6 1 0 0 0 2 0 3
2 7 6 4 3 2 5 1
1 6 4 1 7 3 2 5
2 5 6 4 7 2 3 1
3 6 5 1 7 3 2 4
4 6 7 4 5 3 2 1
1 4 0 5 3 1 6 2
1 3 2 4 5 1 6 7
1 4 7 1 2 3 5 6
2 7 3 1 6 4 2 5
2 3 7 4 6 2 5 1
3 0 0 4 5 1 3 2
2 3 1 0 2 0 4 0
1 4 0 1 2 0 3 5
1 7 6 1 5 2 4 3
1 7 6 1 5 2 3 4
1 3 0 5 0 2 4 1
12 1 0 0 2 0 0 0
1 5 6 3 0 2 1 4
3 7 6 1 5 4 2 3
1 0 2 1 0 3 0 0
1 3 0 2 6 4 1 5
1 1 0 4 6 2 3 5
2 4 3 5 7 2 6 1
15 0 0 1 0 3 2 4
1 0 0 2 4 3 1 0
1 3 4 6 5 1 7 2
1 4 0 1 0 3 2 0
1 1 2 3 7 5 4 6
6 0 0 4 3 1 0 2
1 0 2 0 0 0 1 3
1 0 3 4 1 0 2 0
1 7 6 2 4 3 1 5
2 5 7 1 6 4 2 3
1 7 6 1 3 5 2 4
2 6 7 2 5 1 3 4
1 6 7 2 4 5 1 3
2 3 7 1 6 4 2 5
2 5 0 4 0 2 3 1
1 2 0 0 0 3 0 1
6 3 7 5 6 2 4 1
39 0 0 0 1 0 0 0
2 4 0 3 1 0 2 0
5 0 0 0 0 0 1 2
4 5 3 2 4 7 1 6
19 0 0 2 0 3 1 0
7 0 0 2 0 4 1 3
1 1 7 4 6 2 5 3
2 5 6 3 7 1 4 2
3 6 7 3 5 2 1 4
34 0 1 2 0 0 0 0
2 5 6 4 7 1 3 2
3 7 6 5 4 1 3 2
3 0 0 1 0 4 3 2
1 3 0 4 2 0 1 0
1 6 7 3 2 4 1 5
2 1 0 0 0 0 0 2
12 5 7 3 6 2 4 1
13 6 7 4 5 1 3 2
3 7 6 1 5 3 2 4
3 0 1 0 0 2 0 0
6 2 0 0 1 0 0 0
12 0 0 4 0 1 2 3
1 3 0 1 0 0 0 2
2 4 3 2 0 0 1 0
3 4 7 5 3 2 6 1
1 3 0 5 6 1 4 2
1 7 6 2 3 5 1 4
4 1 0 2 0 0 3 0
1 6 7 4 3 1 2 5
77 3 0 0 0 1 0 2
1 2 7 3 6 1 4 5
1 3 2 1 5 7 4 6
1 3 0 0 1 0 0 2
3 0 1 3 2 0 0 0
4 0 0 3 2 1 0 0
2 0 3 2 0 0 0 1
1 1 0 0 3 2 0 0
1 4 0 6 3 2 5 1
1 0 2 1 0 4 3 5
1 7 3 2 6 4 1 5
1 2 0 3 0 0 0 1
1 5 4 2 3 6 1 7
1 5 7 3 2 6 1 4
15 0 0 2 0 1 0 0
1 4 6 5 3 1 7 2
1 0 0 5 2 1 3 4
2 0 0 1 2 4 3 5
6 5 4 1 3 6 2 7
1 3 2 4 1 6 5 7
1 3 1 2 5 7 4 6
1 0 3 4 0 1 0 2
1 0 3 1 0 0 0 2
1 0 0 3 0 1 2 0
265 0 0 2 0 0 1 0
4 0 0 2 0 0 0 1
1 6 0 5 2 1 4 3
1 0 5 2 0 1 3 4
5 6 7 3 5 1 4 2
1 5 0 2 0 1 4 3
2 6 7 3 4 1 5 2
1 4 3 1 5 0 2 0
1 3 4 1 0 5 2 6
2 3 6 4 0 1 5 2
4 1 0 0 0 3 0 2
1 4 0 3 0 2 0 1
1 7 2 3 6 1 4 5
1 3 0 2 1 0 0 0
1 2 1 0 0 3 0 0
1 0 0 4 1 3 0 2
15 0 0 1 0 2 0 0
1 4 5 2 3 7 1 6
3 0 2 1 3 0 4 0
1 1 7 6 4 2 5 3
9 3 1 2 0 0 0 0
1 7 6 2 3 4 1 5
1 0 0 4 3 2 5 1
2 3 0 0 2 1 0 4
1 3 6 4 7 2 5 1
2 0 0 4 5 3 2 1
2 7 6 3 5 2 4 1
2 0 0 5 3 1 4 2
2 0 1 2 0 0 0 3
1 1 0 2 3 4 5 6
1 6 5 1 7 4 3 2
2 3 4 0 0 1 0 2
379 0 0 1 0 0 2 0
4 4 1 2 5 6 3 7
3 2 0 0 0 0 0 1
3 1 2 3 0 0 0 0
1 1 6 4 7 3 5 2
1 4 7 5 6 1 2 3
1 3 6 7 4 1 5 2
1 7 6 5 3 1 4 2
1 0 0 3 4 0 1 2
2 6 7 5 3 2 4 1
1 1 0 4 0 0 3 2
1 7 6 4 5 3 2 1
10 0 0 0 0 1 2 0
3 0 0 2 0 1 4 3
1 5 3 1 2 7 4 6
1 3 0 1 2 0 0 0
1 0 1 5 0 2 4 3
1 3 0 4 0 2 1 5
1 0 0 0 3 1 4 2
1 0 0 4 3 2 0 1
1 4 0 3 0 1 0 2
2 0 0 3 0 4 2 1
2 5 1 3 2 7 4 6
2 3 6 2 4 7 1 5
1 0 1 4 2 3 0 0
1 0 0 3 4 2 0 1
1 3 0 2 4 0 0 1
1 0 0 2 4 1 3 0
1 0 3 1 0 2 0 0
1 5 6 2 7 3 1 4
1 4 0 5 6 2 3 1
1 0 0 0 4 1 2 3
1 7 4 2 3 5 1 6
16 0 3 1 4 0 2 0
2 3 0 2 4 0 1 0
1 7 2 3 4 1 5 6
1 5 0 4 0 1 3 2
6 5 3 1 4 6 2 7
1 0 5 6 2 1 3 4
1 7 6 2 5 3 1 4
1 3 1 2 5 6 4 7
1 4 5 2 3 6 1 7
1 7 1 3 2 6 4 5
1 7 5 4 6 1 3 2
4 3 0 2 0 0 1 0
2 0 0 3 5 1 4 2
1 5 4 2 1 6 3 7
22 3 0 1 0 0 2 0
15 4 0 0 3 1 0 2
5 0 0 3 4 1 0 2
5 6 7 5 3 1 4 2
1 5 6 3 7 1 2 4
1 7 6 1 2 4 3 5
1 0 3 4 0 2 0 1
1 0 0 3 4 0 2 1
1 3 6 5 7 2 4 1
5 0 0 0 2 0 1 0
1 7 5 2 1 6 4 3
6 0 0 1 0 2 0 3
2 6 7 5 4 2 3 1
1 0 0 2 5 1 4 3
4 2 0 0 0 1 0 0
1 7 6 3 4 2 5 1
64 0 0 0 0 0 1 0
1 2 6 3 4 5 1 0
1 5 4 6 1 3 7 2
2 0 0 0 3 1 2 0
1 4 1 5 3 6 2 7
1 2 7 6 3 4 5 1
1 3 7 4 6 1 2 5
2 1 0 0 0 0 2 0
7 0 0 1 0 2 3 4
1 0 2 3 0 4 1 5
3 3 1 2 0 4 0 0
2 0 0 0 2 1 3 0
114 0 0 1 0 0 0 0
20 0 0 4 0 2 3 1
3 6 7 2 3 5 1 4
1 7 3 6 4 1 5 2
8 3 7 4 6 1 5 2
3 3 0 4 0 2 5 1
1 7 1 6 2 4 5 3
1 2 0 4 0 1 5 3
1 6 0 4 3 2 5 1
17 0 0 0 0 1 2 3
1 7 6 2 1 5 3 4
1 2 3 1 0 0 0 0
8 6 7 4 5 2 3 1
50 0 3 2 0 0 1 0
1 1 0 0 0 2 3 0
1 7 6 5 3 2 4 1
2 3 7 4 5 1 6 2
5 4 3 1 5 6 2 7
1 0 2 6 4 1 5 3
1 0 2 1 0 0 0 3
5 3 6 4 7 1 5 2
1 2 7 3 1 5 4 6
1 3 0 2 4 5 1 6
1 0 0 1 4 5 2 3
2 7 6 1 3 4 2 5
1 3 0 1 4 0 0 2
6 3 7 6 4 2 5 1
1 0 3 0 0 1 2 0
1 4 0 5 1 2 6 3
2 0 0 0 0 2 1 3
1 6 5 1 7 4 2 3
1 0 2 3 0 1 0 0
1 0 0 0 2 4 1 3
1 5 7 2 6 4 3 1
1 6 5 2 7 3 1 4
1 2 0 3 1 0 0 0
1 4 0 0 0 1 3 2
2 3 0 2 1 0 4 0
15 0 0 0 0 2 3 1
14 3 7 5 4 1 6 2
2 6 7 1 5 4 2 3
1 5 6 4 7 1 2 3
1 7 6 1 5 4 3 2
2 7 5 3 6 1 4 2
2 7 1 3 2 5 4 6
1 4 1 7 5 2 6 3
7 0 4 2 1 0 3 0
5 0 3 2 4 0 1 0
4 0 0 3 5 2 4 1
1 2 7 3 4 6 1 5
1 0 1 2 0 4 3 5
40 3 0 0 0 2 0 1
2 0 0 2 5 3 1 4
1 4 1 2 5 6 3 0
1 0 2 1 0 3 4 0
1 6 7 3 1 4 2 5
2 3 2 0 1 0 0 0
1 6 5 2 0 4 1 3
1 0 0 1 4 3 5 2
1 5 2 1 4 7 3 6
1 0 1 0 2 3 0 4
1 6 7 4 1 5 3 2
1 1 0 0 2 3 0 0
1 0 2 4 1 0 3 0
2 0 0 0 4 1 3 2
2 6 0 4 5 1 3 2
1 2 0 1 0 0 0 0
1 4 5 1 3 6 2 7
2 3 0 6 4 1 5 2
2 0 2 0 1 3 0 0
3 2 1 0 3 0 0 0
1 3 1 4 2 6 5 7
3 1 7 3 2 5 4 6
4 0 2 0 0 0 1 0
1 1 0 0 2 0 0 3
2 5 7 3 6 1 4 2
1 1 7 5 2 3 6 4
1 3 0 2 5 4 1 0
2 4 7 3 6 1 5 2
1 1 0 3 2 0 0 0
2 1 7 6 2 4 5 3
1 5 6 1 7 2 3 4
1 2 7 3 1 4 6 5
126 0 1 2 0 0 3 0
1 1 7 4 2 5 3 6
1 4 3 1 0 5 2 6
1 0 0 2 4 0 1 3
1 0 0 2 3 4 1 0
1 1 7 4 2 5 6 3
1 0 0 1 2 5 3 4
4 0 0 2 0 1 3 4
2 2 0 0 1 0 3 0
1 3 7 5 4 1 2 6
1 0 0 0 1 3 4 2
1 4 3 5 6 2 7 1
2 0 0 1 4 0 2 3
1 5 6 1 0 4 2 3
1 4 7 1 2 5 3 6
1 2 0 5 1 6 4 3
5 3 2 1 0 0 0 0
1 6 7 1 2 5 4 3
1 0 1 0 2 3 0 0
1 3 2 5 1 0 4 0
466 0 0 0 0 1 0 2
1 5 1 3 2 0 4 0
1 0 0 1 3 0 2 4
1 3 6 1 7 4 2 5
1 5 7 1 6 2 3 4
1 0 2 0 0 1 0 3
1 4 3 0 0 1 0 2
1 0 1 2 0 0 3 4
1 3 7 6 5 1 4 2
1 3 5 4 6 1 7 2
229 0 0 0 0 2 0 1
5 0 0 3 0 0 2 1
1 5 2 3 4 6 1 7
3 6 1 2 7 4 3 5
1 7 6 3 5 1 2 4
1 4 5 1 2 6 3 7
1 4 0 0 3 2 1 5
1 0 1 0 0 3 2 4
2 0 0 1 2 3 0 0
1 4 0 3 2 0 1 0
1 5 3 2 6 1 4 7
2 5 4 6 3 2 7 1
1 6 7 1 3 2 4 5
1 6 1 2 4 7 3 5
1 0 0 5 3 2 4 1
2 6 7 5 1 2 4 3
1 6 0 3 4 2 5 1
14 0 0 2 0 3 1 4
9 2 1 3 0 0 0 0
1 7 5 1 6 2 3 4
2 0 0 0 2 3 0 1
1 0 0 3 2 4 0 1
6 0 3 0 0 1 0 2
1 5 1 2 4 0 3 0
1 7 5 1 6 4 2 3
3 0 3 1 2 0 4 0
1 2 7 4 6 1 5 3
16 2 1 0 0 0 0 0
1 2 0 0 0 0 1 0
2 3 7 2 4 6 1 5
2 7 6 4 5 2 3 1
1 2 0 0 0 0 1 3
1 7 4 1 3 6 2 5
15 0 1 3 2 0 4 0
5 0 0 3 1 0 2 0
11 0 0 2 0 0 1 3
10 3 0 0 4 1 0 2
1 3 0 1 0 5 2 4
15 0 0 1 2 0 3 0
2 3 0 2 0 1 0 0
8 3 1 0 2 0 0 0
24 0 1 3 0 0 2 0
1 0 2 0 0 0 3 1
2 4 0 0 1 2 0 3
2 3 4 5 7 1 6 2
1 5 6 2 7 4 1 3
1 1 0 4 3 2 5 6
1 1 0 0 2 0 3 0
10 0 0 0 0 2 1 0
2 3 4 1 0 0 2 0
1 6 5 4 7 1 2 3
3 1 0 2 0 0 0 0
2 0 0 1 5 3 2 4
1 1 2 0 3 0 0 0
1 3 1 0 0 2 0 0
2 1 0 0 3 0 2 0
1 3 0 0 0 0 2 1
3 4 5 1 3 7 2 6
3 0 2 3 4 0 1 0
1 4 0 2 1 0 3 0
3 3 6 7 4 2 5 1
1 0 0 1 5 4 2 3
1 4 3 1 2 5 7 6
5 0 1 0 0 2 0 3
4 3 0 1 4 0 2 0
3 4 0 1 3 0 2 0
1 0 2 0 3 1 0 4
1 4 7 6 3 2 1 5
2 0 1 0 0 3 2 0
1 7 6 3 1 4 2 5
1 1 0 0 2 5 3 4
1 5 3 2 4 6 1 7
1 1 4 6 5 3 7 2
2 0 0 1 0 0 0 2
2 0 4 1 0 3 2 0
2 6 5 4 7 2 3 1
1 3 0 0 2 0 1 0
1 6 7 3 5 4 1 2
11 0 1 2 3 0 4 0
1 0 0 1 5 2 3 4
1 0 0 2 1 0 0 3
1 5 1 2 4 7 3 6
1 2 0 6 4 1 5 3
