11 Kirkcaldy Central
3 7 728 4564
Blair ALLAN, SNP
Alistair CAMERON, Lab
Graham DUNCAN, Con
Judy HAMILTON, Lab
Zoe HISBENT, SNP
Tao Jack Alexander Ruaridh MACLEOD, Grn
Karen UTTING, SLD
1 0 1 2 3 0 4 5
1 4 3 7 5 1 2 6
2 0 0 0 2 1 3 0
1 3 4 0 2 1 5 6
189 0 0 1 0 0 0 0
3 0 0 0 3 0 1 2
1 0 1 5 4 0 3 2
1 4 0 0 3 2 1 0
7 1 2 7 3 4 5 6
2 0 4 0 3 2 1 0
1 6 2 1 3 7 5 4
1 2 3 0 4 1 5 6
3 7 3 2 4 6 5 1
14 1 3 7 4 2 5 6
1 0 0 0 0 1 2 3
1 4 0 0 1 2 3 0
2 2 3 1 0 0 0 0
1 3 4 5 1 6 2 7
203 1 0 0 0 2 3 0
11 0 2 1 0 0 0 3
1 6 4 1 5 7 3 2
1 1 2 3 0 4 0 0
1 1 4 0 3 6 2 5
2 0 2 0 3 0 4 1
1 0 3 0 0 1 2 0
9 0 3 0 1 0 0 2
1 4 6 7 3 1 5 2
1 1 7 6 2 3 4 5
1 3 5 0 6 2 1 4
1 3 1 0 4 2 0 0
2 0 0 0 0 2 1 3
3 1 4 7 6 2 3 5
3 0 1 3 4 0 0 2
1 0 2 3 4 0 0 1
11 2 6 7 5 1 3 4
2 1 3 7 6 2 4 5
1 7 4 2 5 6 1 3
1 4 2 7 1 6 5 3
2 4 2 5 1 3 7 6
1 1 2 0 5 3 4 6
1 3 6 1 7 4 5 2
1 2 0 3 1 0 0 0
1 4 5 7 6 3 1 2
1 2 6 3 7 1 5 4
1 1 2 7 5 6 3 4
2 1 3 0 4 2 5 6
2 3 4 0 2 1 0 0
1 6 2 4 1 7 5 3
1 4 1 0 3 2 0 0
2 1 4 0 3 2 5 6
1 6 4 1 3 5 7 2
1 2 1 5 7 3 4 6
1 1 5 3 6 2 0 4
1 2 6 3 5 1 7 4
16 0 0 1 0 0 3 2
18 3 2 0 1 0 0 0
2 2 3 0 1 4 0 0
1 3 4 0 1 2 5 0
1 0 1 0 0 0 2 3
1 5 3 7 2 4 6 1
8 4 1 0 2 3 0 0
12 2 5 7 4 1 3 6
2 2 4 0 3 1 5 0
1 5 2 4 1 3 6 7
18 1 0 0 2 3 0 0
1 2 4 1 0 3 5 6
2 0 2 4 1 0 3 0
1 2 6 0 5 1 4 3
1 2 0 0 4 1 0 3
9 2 3 0 4 1 0 0
1 0 0 2 3 4 0 1
1 0 0 0 4 1 3 2
1 4 0 0 2 3 1 0
1 3 0 0 0 2 1 4
37 0 2 0 1 3 0 0
7 2 1 0 3 0 0 0
15 2 4 0 3 1 0 0
2 7 2 1 3 6 4 5
1 2 5 7 3 1 4 6
1 3 5 1 6 4 7 2
1 1 2 0 5 4 3 0
3 0 2 0 0 0 1 0
2 2 4 0 0 1 3 0
3 0 2 1 3 0 5 4
1 1 3 4 2 5 6 7
1 3 2 0 4 0 0 1
1 3 6 0 4 1 2 5
1 1 5 0 4 2 6 3
1 1 2 0 5 4 3 6
1 2 3 7 5 1 4 6
3 1 0 0 0 2 4 3
4 2 6 7 5 1 4 3
6 1 3 6 4 2 5 7
1 3 2 4 1 5 6 7
1 4 6 0 1 3 2 5
1 6 2 0 1 5 3 4
2 2 0 0 1 0 3 0
1 7 5 1 3 6 4 2
1 1 4 2 6 3 5 7
1 1 3 6 2 5 4 7
3 0 2 0 0 0 0 1
1 4 1 0 3 5 2 0
1 3 5 7 2 1 4 6
14 1 5 7 6 2 3 4
1 3 1 2 7 5 6 4
1 1 4 0 5 2 6 3
7 0 1 0 3 0 0 2
2 5 1 3 2 6 7 4
1 2 1 4 5 3 6 7
15 1 2 0 0 3 0 0
8 1 3 0 2 0 0 0
1 5 2 4 1 6 0 3
1 0 4 0 2 1 3 0
11 0 1 0 2 3 0 0
2 5 2 0 1 4 3 0
7 2 4 7 3 1 5 6
1 3 2 1 0 0 0 0
1 6 2 5 1 7 3 4
2 3 4 0 5 2 1 6
1 5 3 7 6 4 1 2
1 5 1 3 2 0 4 0
1 6 4 0 3 5 1 2
1 7 5 3 4 6 1 2
1 0 0 0 0 1 0 2
25 0 2 1 3 0 0 4
3 3 4 7 1 2 5 6
8 0 1 0 2 0 4 3
14 2 4 7 5 1 3 6
2 0 1 2 4 0 0 3
1 1 3 0 0 2 4 5
3 1 7 3 6 2 5 4
3 0 1 0 3 0 2 4
1 0 0 3 0 0 2 1
14 0 3 1 2 0 0 4
20 0 0 1 3 0 0 2
1 0 1 0 0 3 2 4
3 7 2 1 3 6 5 4
9 0 1 2 3 0 0 4
2 1 3 0 2 4 0 0
1 7 1 4 2 3 5 6
1 2 3 1 4 7 6 5
1 2 4 7 5 3 6 1
1 1 6 4 7 2 5 3
2 1 3 2 0 0 0 0
1 2 3 7 5 1 6 4
1 0 0 0 2 3 0 1
1 3 5 0 4 1 2 6
1 4 5 7 3 2 1 6
7 3 1 7 2 4 5 6
1 1 4 5 6 2 7 3
1 4 7 6 3 5 2 1
6 2 1 0 0 0 0 0
1 4 1 0 2 0 3 0
2 2 0 0 0 0 1 0
38 2 0 0 3 1 0 0
3 0 1 4 3 0 0 2
1 2 4 0 5 3 1 6
1 2 0 0 0 0 1 3
1 2 0 0 0 4 1 3
5 0 0 1 2 0 3 0
1 2 3 0 1 4 5 0
1 3 4 0 5 1 6 2
21 3 1 0 2 0 0 0
1 1 0 0 0 4 3 2
1 3 4 0 1 0 2 0
1 0 2 0 0 0 3 1
1 2 5 6 4 1 7 3
3 1 0 0 2 0 3 0
2 1 4 0 5 2 3 6
13 1 3 0 4 2 0 0
2 2 5 0 4 1 3 6
4 0 0 0 0 2 1 0
2 0 2 0 0 1 3 0
2 1 3 4 5 2 6 7
7 1 2 0 3 0 0 0
5 1 0 0 3 0 2 0
1 2 3 0 4 1 0 5
2 1 0 2 0 0 0 0
2 6 4 5 3 7 1 2
1 0 3 0 0 0 1 2
1 4 2 0 1 3 5 6
3 3 1 0 0 2 0 0
1 1 3 0 4 2 6 5
1 1 6 0 5 2 3 4
44 0 1 3 2 0 0 4
1 6 3 7 4 5 2 1
2 2 3 0 4 1 5 0
1 3 6 0 5 1 2 4
1 1 2 7 4 6 3 5
1 4 0 0 1 3 2 0
1 2 1 0 3 4 5 6
1 0 1 2 3 4 0 0
1 3 0 0 2 4 1 0
2 2 3 7 1 4 5 6
1 3 2 0 5 1 4 0
1 2 4 6 1 3 5 7
1 1 6 7 5 2 4 3
1 0 3 0 4 1 2 0
1 6 2 7 1 4 3 5
61 0 0 1 0 0 0 2
2 3 0 0 2 0 1 0
160 2 0 0 0 1 3 0
7 0 0 2 1 0 0 3
1 3 5 7 6 2 1 4
3 0 0 0 3 0 2 1
1 1 7 6 4 3 2 5
1 6 5 3 4 7 1 2
